,id,ल्युट्,ण्वुल्,तृच्,यत्,तव्य,अनीयर्,क्त,क्तवतु,शानच्,स्य-शानच्,भावकर्म-शानच्,स्य-भावकर्म-शानच्,क्त्वा,ल्यप्,तुमुन्,णमुल्,घञ्,क्तिन्,अच्,क्वसु,चानश्,वुन्,अ,वरच्
0,01.0001,(बोभूयन)---बोभूयनम्,(बोभूयक)-बोभूयकः-बोभूयिका-बोभूयकम्,(बोभूयितृ)-बोभूयिता-बोभूयित्री-बोभूयितृ,(बोभूय्य)-बोभूय्यः-बोभूय्या-बोभूय्यम्,(बोभूयितव्य)-बोभूयितव्यः-बोभूयितव्या-बोभूयितव्यम्,(बोभूयनीय)-बोभूयनीयः-बोभूयनीया-बोभूयनीयम्,(बोभूयित)-बोभूयितः-बोभूयिता-बोभूयितम्,(बोभूयितवत्)-बोभूयितवान्-बोभूयितवती-बोभूयितवत्/बोभूयितवद्,(बोभूयमान)-बोभूयमानः-बोभूयमाना-बोभूयमानम्,(बोभूयिष्यमाण)-बोभूयिष्यमाणः-बोभूयिष्यमाणा-बोभूयिष्यमाणम्,(बोभूय्यमान)-बोभूय्यमानः-बोभूय्यमाना-बोभूय्यमानम्,(बोभूयिष्यमाण)-बोभूयिष्यमाणः-बोभूयिष्यमाणा-बोभूयिष्यमाणम्,(बोभूयित्वा)---,(प्रबोभूय्य)---,(बोभूयितुम्)---,(बोभूयम्)---,(बोभूय)-बोभूयः--,(बोभूति)--बोभूतिः-,(बोभुव)-बोभुवः-बोभुवा-बोभुवम्,[(बोभूयाम्बभूवस्-बोभूयामासिवस्-बोभूयाञ्चकृवस्)- (बोभूयाम्बभूवान्-बोभूयामासिवान्-बोभूयाञ्चकृवान्)- (बोभूयाम्बभूषी-बोभूयामास्युषी-बोभूयाञ्चक्रुषी)- (बोभूयाम्बभूवत्/बोभूयाम्बभूवद्-बोभूयामासिवत्/बोभूयामासिवद्-बोभूयाञ्चकृवत्/बोभूयाञ्चकृवद्)],(बोभूयमान)-बोभूयमानः-बोभूयमाना-बोभूयमानम्,(बोभूयक)-बोभूयकः-बोभूयिका-बोभूयकम्,(बोभूया)--बोभूया-,
1,01.0003,(पास्पर्धन)---पास्पर्धनम्,(पास्पर्धक)-पास्पर्धकः-पास्पर्धिका-पास्पर्धकम्,(पास्पर्धितृ)-पास्पर्धिता-पास्पर्धित्री-पास्पर्धितृ,(पास्पर्ध्य)-पास्पर्ध्यः-पास्पर्ध्या-पास्पर्ध्यम्,(पास्पर्धितव्य)-पास्पर्धितव्यः-पास्पर्धितव्या-पास्पर्धितव्यम्,(पास्पर्धनीय)-पास्पर्धनीयः-पास्पर्धनीया-पास्पर्धनीयम्,(पास्पर्धित)-पास्पर्धितः-पास्पर्धिता-पास्पर्धितम्,(पास्पर्धितवत्)-पास्पर्धितवान्-पास्पर्धितवती-पास्पर्धितवत्/पास्पर्धितवद्,(पास्पर्ध्यमान)-पास्पर्ध्यमानः-पास्पर्ध्यमाना-पास्पर्ध्यमानम्,(पास्पर्धिष्यमाण)-पास्पर्धिष्यमाणः-पास्पर्धिष्यमाणा-पास्पर्धिष्यमाणम्,(पास्पर्ध्यमान)-पास्पर्ध्यमानः-पास्पर्ध्यमाना-पास्पर्ध्यमानम्,(पास्पर्धिष्यमाण)-पास्पर्धिष्यमाणः-पास्पर्धिष्यमाणा-पास्पर्धिष्यमाणम्,(पास्पर्धित्वा)---,(प्रपास्पर्ध्य)---,(पास्पर्धितुम्)---,(पास्पर्धम्)---,(पास्पर्ध)-पास्पर्धः--,[(पास्पर्धि-पास्पर्द्धि)- (-)- (पास्पर्धिः-पास्पर्द्धिः)- (-)],(पास्पर्ध)-पास्पर्धः-पास्पर्धा-पास्पर्धम्,[(पास्पर्धि-पास्पर्द्धि-पास्पर्धाम्बभूवस्-पास्पर्धामासिवस्-पास्पर्धाञ्चकृवस्)- (--पास्पर्धाम्बभूवान्-पास्पर्धामासिवान्-पास्पर्धाञ्चकृवान्)- (पास्पर्धिः-पास्पर्द्धिः-पास्पर्धाम्बभूषी-पास्पर्धामास्युषी-पास्पर्धाञ्चक्रुषी)- (--पास्पर्धाम्बभूवत्/पास्पर्धाम्बभूवद्-पास्पर्धामासिवत्/पास्पर्धामासिवद्-पास्पर्धाञ्चकृवत्/पास्पर्धाञ्चकृवद्)],(पास्पर्ध्यमान)-पास्पर्ध्यमानः-पास्पर्ध्यमाना-पास्पर्ध्यमानम्,(पास्पर्धक)-पास्पर्धकः-पास्पर्धिका-पास्पर्धकम्,(पास्पर्धा)--पास्पर्धा-,
2,01.0004,(जागाधन)---जागाधनम्,(जागाधक)-जागाधकः-जागाधिका-जागाधकम्,(जागाधितृ)-जागाधिता-जागाधित्री-जागाधितृ,(जागाध्य)-जागाध्यः-जागाध्या-जागाध्यम्,(जागाधितव्य)-जागाधितव्यः-जागाधितव्या-जागाधितव्यम्,(जागाधनीय)-जागाधनीयः-जागाधनीया-जागाधनीयम्,(जागाधित)-जागाधितः-जागाधिता-जागाधितम्,(जागाधितवत्)-जागाधितवान्-जागाधितवती-जागाधितवत्/जागाधितवद्,(जागाध्यमान)-जागाध्यमानः-जागाध्यमाना-जागाध्यमानम्,(जागाधिष्यमाण)-जागाधिष्यमाणः-जागाधिष्यमाणा-जागाधिष्यमाणम्,(जागाध्यमान)-जागाध्यमानः-जागाध्यमाना-जागाध्यमानम्,(जागाधिष्यमाण)-जागाधिष्यमाणः-जागाधिष्यमाणा-जागाधिष्यमाणम्,(जागाधित्वा)---,(प्रजागाध्य)---,(जागाधितुम्)---,(जागाधम्)---,(जागाध)-जागाधः--,(जागाद्धि)--जागाद्धिः-,(जागाध)-जागाधः-जागाधा-जागाधम्,[(जागाधाम्बभूवस्-जागाधामासिवस्-जागाधाञ्चकृवस्)- (जागाधाम्बभूवान्-जागाधामासिवान्-जागाधाञ्चकृवान्)- (जागाधाम्बभूषी-जागाधामास्युषी-जागाधाञ्चक्रुषी)- (जागाधाम्बभूवत्/जागाधाम्बभूवद्-जागाधामासिवत्/जागाधामासिवद्-जागाधाञ्चकृवत्/जागाधाञ्चकृवद्)],(जागाध्यमान)-जागाध्यमानः-जागाध्यमाना-जागाध्यमानम्,(जागाधक)-जागाधकः-जागाधिका-जागाधकम्,(जागाधा)--जागाधा-,
3,01.0005,(बाबाधन)---बाबाधनम्,(बाबाधक)-बाबाधकः-बाबाधिका-बाबाधकम्,(बाबाधितृ)-बाबाधिता-बाबाधित्री-बाबाधितृ,(बाबाध्य)-बाबाध्यः-बाबाध्या-बाबाध्यम्,(बाबाधितव्य)-बाबाधितव्यः-बाबाधितव्या-बाबाधितव्यम्,(बाबाधनीय)-बाबाधनीयः-बाबाधनीया-बाबाधनीयम्,(बाबाधित)-बाबाधितः-बाबाधिता-बाबाधितम्,(बाबाधितवत्)-बाबाधितवान्-बाबाधितवती-बाबाधितवत्/बाबाधितवद्,(बाबाध्यमान)-बाबाध्यमानः-बाबाध्यमाना-बाबाध्यमानम्,(बाबाधिष्यमाण)-बाबाधिष्यमाणः-बाबाधिष्यमाणा-बाबाधिष्यमाणम्,(बाबाध्यमान)-बाबाध्यमानः-बाबाध्यमाना-बाबाध्यमानम्,(बाबाधिष्यमाण)-बाबाधिष्यमाणः-बाबाधिष्यमाणा-बाबाधिष्यमाणम्,(बाबाधित्वा)---,(प्रबाबाध्य)---,(बाबाधितुम्)---,(बाबाधम्)---,(बाबाध)-बाबाधः--,(बाबाद्धि)--बाबाद्धिः-,(बाबाध)-बाबाधः-बाबाधा-बाबाधम्,[(बाबाधाम्बभूवस्-बाबाधामासिवस्-बाबाधाञ्चकृवस्)- (बाबाधाम्बभूवान्-बाबाधामासिवान्-बाबाधाञ्चकृवान्)- (बाबाधाम्बभूषी-बाबाधामास्युषी-बाबाधाञ्चक्रुषी)- (बाबाधाम्बभूवत्/बाबाधाम्बभूवद्-बाबाधामासिवत्/बाबाधामासिवद्-बाबाधाञ्चकृवत्/बाबाधाञ्चकृवद्)],(बाबाध्यमान)-बाबाध्यमानः-बाबाध्यमाना-बाबाध्यमानम्,(बाबाधक)-बाबाधकः-बाबाधिका-बाबाधकम्,(बाबाधा)--बाबाधा-,
4,01.0006,(नानाधन)---नानाधनम्,(नानाधक)-नानाधकः-नानाधिका-नानाधकम्,(नानाधितृ)-नानाधिता-नानाधित्री-नानाधितृ,(नानाध्य)-नानाध्यः-नानाध्या-नानाध्यम्,(नानाधितव्य)-नानाधितव्यः-नानाधितव्या-नानाधितव्यम्,(नानाधनीय)-नानाधनीयः-नानाधनीया-नानाधनीयम्,(नानाधित)-नानाधितः-नानाधिता-नानाधितम्,(नानाधितवत्)-नानाधितवान्-नानाधितवती-नानाधितवत्/नानाधितवद्,(नानाध्यमान)-नानाध्यमानः-नानाध्यमाना-नानाध्यमानम्,(नानाधिष्यमाण)-नानाधिष्यमाणः-नानाधिष्यमाणा-नानाधिष्यमाणम्,(नानाध्यमान)-नानाध्यमानः-नानाध्यमाना-नानाध्यमानम्,(नानाधिष्यमाण)-नानाधिष्यमाणः-नानाधिष्यमाणा-नानाधिष्यमाणम्,(नानाधित्वा)---,(प्रनानाध्य)---,(नानाधितुम्)---,(नानाधम्)---,(नानाध)-नानाधः--,(नानाद्धि)--नानाद्धिः-,(नानाध)-नानाधः-नानाधा-नानाधम्,[(नानाधाम्बभूवस्-नानाधामासिवस्-नानाधाञ्चकृवस्)- (नानाधाम्बभूवान्-नानाधामासिवान्-नानाधाञ्चकृवान्)- (नानाधाम्बभूषी-नानाधामास्युषी-नानाधाञ्चक्रुषी)- (नानाधाम्बभूवत्/नानाधाम्बभूवद्-नानाधामासिवत्/नानाधामासिवद्-नानाधाञ्चकृवत्/नानाधाञ्चकृवद्)],(नानाध्यमान)-नानाध्यमानः-नानाध्यमाना-नानाध्यमानम्,(नानाधक)-नानाधकः-नानाधिका-नानाधकम्,(नानाधा)--नानाधा-,
5,01.0007,(नानाथन)---नानाथनम्,(नानाथक)-नानाथकः-नानाथिका-नानाथकम्,(नानाथितृ)-नानाथिता-नानाथित्री-नानाथितृ,(नानाथ्य)-नानाथ्यः-नानाथ्या-नानाथ्यम्,(नानाथितव्य)-नानाथितव्यः-नानाथितव्या-नानाथितव्यम्,(नानाथनीय)-नानाथनीयः-नानाथनीया-नानाथनीयम्,(नानाथित)-नानाथितः-नानाथिता-नानाथितम्,(नानाथितवत्)-नानाथितवान्-नानाथितवती-नानाथितवत्/नानाथितवद्,(नानाथ्यमान)-नानाथ्यमानः-नानाथ्यमाना-नानाथ्यमानम्,(नानाथिष्यमाण)-नानाथिष्यमाणः-नानाथिष्यमाणा-नानाथिष्यमाणम्,(नानाथ्यमान)-नानाथ्यमानः-नानाथ्यमाना-नानाथ्यमानम्,(नानाथिष्यमाण)-नानाथिष्यमाणः-नानाथिष्यमाणा-नानाथिष्यमाणम्,(नानाथित्वा)---,(प्रनानाथ्य)---,(नानाथितुम्)---,(नानाथम्)---,(नानाथ)-नानाथः--,(नानात्ति)--नानात्तिः-,(नानाथ)-नानाथः-नानाथा-नानाथम्,[(नानाथाम्बभूवस्-नानाथामासिवस्-नानाथाञ्चकृवस्)- (नानाथाम्बभूवान्-नानाथामासिवान्-नानाथाञ्चकृवान्)- (नानाथाम्बभूषी-नानाथामास्युषी-नानाथाञ्चक्रुषी)- (नानाथाम्बभूवत्/नानाथाम्बभूवद्-नानाथामासिवत्/नानाथामासिवद्-नानाथाञ्चकृवत्/नानाथाञ्चकृवद्)],(नानाथ्यमान)-नानाथ्यमानः-नानाथ्यमाना-नानाथ्यमानम्,(नानाथक)-नानाथकः-नानाथिका-नानाथकम्,(नानाथा)--नानाथा-,
6,01.0008,(दादधन)---दादधनम्,(दादधक)-दादधकः-दादधिका-दादधकम्,(दादधितृ)-दादधिता-दादधित्री-दादधितृ,(दादध्य)-दादध्यः-दादध्या-दादध्यम्,(दादधितव्य)-दादधितव्यः-दादधितव्या-दादधितव्यम्,(दादधनीय)-दादधनीयः-दादधनीया-दादधनीयम्,(दादधित)-दादधितः-दादधिता-दादधितम्,(दादधितवत्)-दादधितवान्-दादधितवती-दादधितवत्/दादधितवद्,(दादध्यमान)-दादध्यमानः-दादध्यमाना-दादध्यमानम्,(दादधिष्यमाण)-दादधिष्यमाणः-दादधिष्यमाणा-दादधिष्यमाणम्,(दादध्यमान)-दादध्यमानः-दादध्यमाना-दादध्यमानम्,(दादधिष्यमाण)-दादधिष्यमाणः-दादधिष्यमाणा-दादधिष्यमाणम्,(दादधित्वा)---,(प्रदादध्य)---,(दादधितुम्)---,(दादधम्)---,(दादध)-दादधः--,(दादद्धि)--दादद्धिः-,(दादध)-दादधः-दादधा-दादधम्,[(दादधाम्बभूवस्-दादधामासिवस्-दादधाञ्चकृवस्)- (दादधाम्बभूवान्-दादधामासिवान्-दादधाञ्चकृवान्)- (दादधाम्बभूषी-दादधामास्युषी-दादधाञ्चक्रुषी)- (दादधाम्बभूवत्/दादधाम्बभूवद्-दादधामासिवत्/दादधामासिवद्-दादधाञ्चकृवत्/दादधाञ्चकृवद्)],(दादध्यमान)-दादध्यमानः-दादध्यमाना-दादध्यमानम्,(दादधक)-दादधकः-दादधिका-दादधकम्,(दादधा)--दादधा-,
7,01.0009,(चोस्कुन्दन)---चोस्कुन्दनम्,(चोस्कुन्दक)-चोस्कुन्दकः-चोस्कुन्दिका-चोस्कुन्दकम्,(चोस्कुन्दितृ)-चोस्कुन्दिता-चोस्कुन्दित्री-चोस्कुन्दितृ,(चोस्कुन्द्य)-चोस्कुन्द्यः-चोस्कुन्द्या-चोस्कुन्द्यम्,(चोस्कुन्दितव्य)-चोस्कुन्दितव्यः-चोस्कुन्दितव्या-चोस्कुन्दितव्यम्,(चोस्कुन्दनीय)-चोस्कुन्दनीयः-चोस्कुन्दनीया-चोस्कुन्दनीयम्,(चोस्कुन्दित)-चोस्कुन्दितः-चोस्कुन्दिता-चोस्कुन्दितम्,(चोस्कुन्दितवत्)-चोस्कुन्दितवान्-चोस्कुन्दितवती-चोस्कुन्दितवत्/चोस्कुन्दितवद्,(चोस्कुन्द्यमान)-चोस्कुन्द्यमानः-चोस्कुन्द्यमाना-चोस्कुन्द्यमानम्,(चोस्कुन्दिष्यमाण)-चोस्कुन्दिष्यमाणः-चोस्कुन्दिष्यमाणा-चोस्कुन्दिष्यमाणम्,(चोस्कुन्द्यमान)-चोस्कुन्द्यमानः-चोस्कुन्द्यमाना-चोस्कुन्द्यमानम्,(चोस्कुन्दिष्यमाण)-चोस्कुन्दिष्यमाणः-चोस्कुन्दिष्यमाणा-चोस्कुन्दिष्यमाणम्,(चोस्कुन्दित्वा)---,(प्रचोस्कुन्द्य)---,(चोस्कुन्दितुम्)---,(चोस्कुन्दम्)---,(चोस्कुन्द)-चोस्कुन्दः--,[(चोस्कुन्ति-चोस्कुन्त्ति)- (-)- (चोस्कुन्तिः-चोस्कुन्त्तिः)- (-)],(चोस्कुन्द)-चोस्कुन्दः-चोस्कुन्दा-चोस्कुन्दम्,[(चोस्कुन्ति-चोस्कुन्त्ति-चोस्कुन्दाम्बभूवस्-चोस्कुन्दामासिवस्-चोस्कुन्दाञ्चकृवस्)- (--चोस्कुन्दाम्बभूवान्-चोस्कुन्दामासिवान्-चोस्कुन्दाञ्चकृवान्)- (चोस्कुन्तिः-चोस्कुन्त्तिः-चोस्कुन्दाम्बभूषी-चोस्कुन्दामास्युषी-चोस्कुन्दाञ्चक्रुषी)- (--चोस्कुन्दाम्बभूवत्/चोस्कुन्दाम्बभूवद्-चोस्कुन्दामासिवत्/चोस्कुन्दामासिवद्-चोस्कुन्दाञ्चकृवत्/चोस्कुन्दाञ्चकृवद्)],(चोस्कुन्द्यमान)-चोस्कुन्द्यमानः-चोस्कुन्द्यमाना-चोस्कुन्द्यमानम्,(चोस्कुन्दक)-चोस्कुन्दकः-चोस्कुन्दिका-चोस्कुन्दकम्,(चोस्कुन्दा)--चोस्कुन्दा-,
8,01.0010,(शेश्विन्दन)---शेश्विन्दनम्,(शेश्विन्दक)-शेश्विन्दकः-शेश्विन्दिका-शेश्विन्दकम्,(शेश्विन्दितृ)-शेश्विन्दिता-शेश्विन्दित्री-शेश्विन्दितृ,(शेश्विन्द्य)-शेश्विन्द्यः-शेश्विन्द्या-शेश्विन्द्यम्,(शेश्विन्दितव्य)-शेश्विन्दितव्यः-शेश्विन्दितव्या-शेश्विन्दितव्यम्,(शेश्विन्दनीय)-शेश्विन्दनीयः-शेश्विन्दनीया-शेश्विन्दनीयम्,(शेश्विन्दित)-शेश्विन्दितः-शेश्विन्दिता-शेश्विन्दितम्,(शेश्विन्दितवत्)-शेश्विन्दितवान्-शेश्विन्दितवती-शेश्विन्दितवत्/शेश्विन्दितवद्,(शेश्विन्द्यमान)-शेश्विन्द्यमानः-शेश्विन्द्यमाना-शेश्विन्द्यमानम्,(शेश्विन्दिष्यमाण)-शेश्विन्दिष्यमाणः-शेश्विन्दिष्यमाणा-शेश्विन्दिष्यमाणम्,(शेश्विन्द्यमान)-शेश्विन्द्यमानः-शेश्विन्द्यमाना-शेश्विन्द्यमानम्,(शेश्विन्दिष्यमाण)-शेश्विन्दिष्यमाणः-शेश्विन्दिष्यमाणा-शेश्विन्दिष्यमाणम्,(शेश्विन्दित्वा)---,(प्रशेश्विन्द्य)---,(शेश्विन्दितुम्)---,(शेश्विन्दम्)---,(शेश्विन्द)-शेश्विन्दः--,[(शेश्विन्ति-शेश्विन्त्ति)- (-)- (शेश्विन्तिः-शेश्विन्त्तिः)- (-)],(शेश्विन्द)-शेश्विन्दः-शेश्विन्दा-शेश्विन्दम्,[(शेश्विन्ति-शेश्विन्त्ति-शेश्विन्दाम्बभूवस्-शेश्विन्दामासिवस्-शेश्विन्दाञ्चकृवस्)- (--शेश्विन्दाम्बभूवान्-शेश्विन्दामासिवान्-शेश्विन्दाञ्चकृवान्)- (शेश्विन्तिः-शेश्विन्त्तिः-शेश्विन्दाम्बभूषी-शेश्विन्दामास्युषी-शेश्विन्दाञ्चक्रुषी)- (--शेश्विन्दाम्बभूवत्/शेश्विन्दाम्बभूवद्-शेश्विन्दामासिवत्/शेश्विन्दामासिवद्-शेश्विन्दाञ्चकृवत्/शेश्विन्दाञ्चकृवद्)],(शेश्विन्द्यमान)-शेश्विन्द्यमानः-शेश्विन्द्यमाना-शेश्विन्द्यमानम्,(शेश्विन्दक)-शेश्विन्दकः-शेश्विन्दिका-शेश्विन्दकम्,(शेश्विन्दा)--शेश्विन्दा-,
9,01.0011,(वावन्दन)---वावन्दनम्,(वावन्दक)-वावन्दकः-वावन्दिका-वावन्दकम्,(वावन्दितृ)-वावन्दिता-वावन्दित्री-वावन्दितृ,(वावन्द्य)-वावन्द्यः-वावन्द्या-वावन्द्यम्,(वावन्दितव्य)-वावन्दितव्यः-वावन्दितव्या-वावन्दितव्यम्,(वावन्दनीय)-वावन्दनीयः-वावन्दनीया-वावन्दनीयम्,(वावन्दित)-वावन्दितः-वावन्दिता-वावन्दितम्,(वावन्दितवत्)-वावन्दितवान्-वावन्दितवती-वावन्दितवत्/वावन्दितवद्,(वावन्द्यमान)-वावन्द्यमानः-वावन्द्यमाना-वावन्द्यमानम्,(वावन्दिष्यमाण)-वावन्दिष्यमाणः-वावन्दिष्यमाणा-वावन्दिष्यमाणम्,(वावन्द्यमान)-वावन्द्यमानः-वावन्द्यमाना-वावन्द्यमानम्,(वावन्दिष्यमाण)-वावन्दिष्यमाणः-वावन्दिष्यमाणा-वावन्दिष्यमाणम्,(वावन्दित्वा)---,(प्रवावन्द्य)---,(वावन्दितुम्)---,(वावन्दम्)---,(वावन्द)-वावन्दः--,[(वावन्ति-वावन्त्ति)- (-)- (वावन्तिः-वावन्त्तिः)- (-)],(वावन्द)-वावन्दः-वावन्दा-वावन्दम्,[(वावन्ति-वावन्त्ति-वावन्दाम्बभूवस्-वावन्दामासिवस्-वावन्दाञ्चकृवस्)- (--वावन्दाम्बभूवान्-वावन्दामासिवान्-वावन्दाञ्चकृवान्)- (वावन्तिः-वावन्त्तिः-वावन्दाम्बभूषी-वावन्दामास्युषी-वावन्दाञ्चक्रुषी)- (--वावन्दाम्बभूवत्/वावन्दाम्बभूवद्-वावन्दामासिवत्/वावन्दामासिवद्-वावन्दाञ्चकृवत्/वावन्दाञ्चकृवद्)],(वावन्द्यमान)-वावन्द्यमानः-वावन्द्यमाना-वावन्द्यमानम्,(वावन्दक)-वावन्दकः-वावन्दिका-वावन्दकम्,(वावन्दा)--वावन्दा-,
10,01.0012,(बाभन्दन)---बाभन्दनम्,(बाभन्दक)-बाभन्दकः-बाभन्दिका-बाभन्दकम्,(बाभन्दितृ)-बाभन्दिता-बाभन्दित्री-बाभन्दितृ,(बाभन्द्य)-बाभन्द्यः-बाभन्द्या-बाभन्द्यम्,(बाभन्दितव्य)-बाभन्दितव्यः-बाभन्दितव्या-बाभन्दितव्यम्,(बाभन्दनीय)-बाभन्दनीयः-बाभन्दनीया-बाभन्दनीयम्,(बाभन्दित)-बाभन्दितः-बाभन्दिता-बाभन्दितम्,(बाभन्दितवत्)-बाभन्दितवान्-बाभन्दितवती-बाभन्दितवत्/बाभन्दितवद्,(बाभन्द्यमान)-बाभन्द्यमानः-बाभन्द्यमाना-बाभन्द्यमानम्,(बाभन्दिष्यमाण)-बाभन्दिष्यमाणः-बाभन्दिष्यमाणा-बाभन्दिष्यमाणम्,(बाभन्द्यमान)-बाभन्द्यमानः-बाभन्द्यमाना-बाभन्द्यमानम्,(बाभन्दिष्यमाण)-बाभन्दिष्यमाणः-बाभन्दिष्यमाणा-बाभन्दिष्यमाणम्,(बाभन्दित्वा)---,(प्रबाभन्द्य)---,(बाभन्दितुम्)---,(बाभन्दम्)---,(बाभन्द)-बाभन्दः--,[(बाभन्ति-बाभन्त्ति)- (-)- (बाभन्तिः-बाभन्त्तिः)- (-)],(बाभन्द)-बाभन्दः-बाभन्दा-बाभन्दम्,[(बाभन्ति-बाभन्त्ति-बाभन्दाम्बभूवस्-बाभन्दामासिवस्-बाभन्दाञ्चकृवस्)- (--बाभन्दाम्बभूवान्-बाभन्दामासिवान्-बाभन्दाञ्चकृवान्)- (बाभन्तिः-बाभन्त्तिः-बाभन्दाम्बभूषी-बाभन्दामास्युषी-बाभन्दाञ्चक्रुषी)- (--बाभन्दाम्बभूवत्/बाभन्दाम्बभूवद्-बाभन्दामासिवत्/बाभन्दामासिवद्-बाभन्दाञ्चकृवत्/बाभन्दाञ्चकृवद्)],(बाभन्द्यमान)-बाभन्द्यमानः-बाभन्द्यमाना-बाभन्द्यमानम्,(बाभन्दक)-बाभन्दकः-बाभन्दिका-बाभन्दकम्,(बाभन्दा)--बाभन्दा-,
11,01.0013,(मामन्दन)---मामन्दनम्,(मामन्दक)-मामन्दकः-मामन्दिका-मामन्दकम्,(मामन्दितृ)-मामन्दिता-मामन्दित्री-मामन्दितृ,(मामन्द्य)-मामन्द्यः-मामन्द्या-मामन्द्यम्,(मामन्दितव्य)-मामन्दितव्यः-मामन्दितव्या-मामन्दितव्यम्,(मामन्दनीय)-मामन्दनीयः-मामन्दनीया-मामन्दनीयम्,(मामन्दित)-मामन्दितः-मामन्दिता-मामन्दितम्,(मामन्दितवत्)-मामन्दितवान्-मामन्दितवती-मामन्दितवत्/मामन्दितवद्,(मामन्द्यमान)-मामन्द्यमानः-मामन्द्यमाना-मामन्द्यमानम्,(मामन्दिष्यमाण)-मामन्दिष्यमाणः-मामन्दिष्यमाणा-मामन्दिष्यमाणम्,(मामन्द्यमान)-मामन्द्यमानः-मामन्द्यमाना-मामन्द्यमानम्,(मामन्दिष्यमाण)-मामन्दिष्यमाणः-मामन्दिष्यमाणा-मामन्दिष्यमाणम्,(मामन्दित्वा)---,(प्रमामन्द्य)---,(मामन्दितुम्)---,(मामन्दम्)---,(मामन्द)-मामन्दः--,[(मामन्ति-मामन्त्ति)- (-)- (मामन्तिः-मामन्त्तिः)- (-)],(मामन्द)-मामन्दः-मामन्दा-मामन्दम्,[(मामन्ति-मामन्त्ति-मामन्दाम्बभूवस्-मामन्दामासिवस्-मामन्दाञ्चकृवस्)- (--मामन्दाम्बभूवान्-मामन्दामासिवान्-मामन्दाञ्चकृवान्)- (मामन्तिः-मामन्त्तिः-मामन्दाम्बभूषी-मामन्दामास्युषी-मामन्दाञ्चक्रुषी)- (--मामन्दाम्बभूवत्/मामन्दाम्बभूवद्-मामन्दामासिवत्/मामन्दामासिवद्-मामन्दाञ्चकृवत्/मामन्दाञ्चकृवद्)],(मामन्द्यमान)-मामन्द्यमानः-मामन्द्यमाना-मामन्द्यमानम्,(मामन्दक)-मामन्दकः-मामन्दिका-मामन्दकम्,(मामन्दा)--मामन्दा-,
12,01.0014,(पास्पन्दन)---पास्पन्दनम्,(पास्पन्दक)-पास्पन्दकः-पास्पन्दिका-पास्पन्दकम्,(पास्पन्दितृ)-पास्पन्दिता-पास्पन्दित्री-पास्पन्दितृ,(पास्पन्द्य)-पास्पन्द्यः-पास्पन्द्या-पास्पन्द्यम्,(पास्पन्दितव्य)-पास्पन्दितव्यः-पास्पन्दितव्या-पास्पन्दितव्यम्,(पास्पन्दनीय)-पास्पन्दनीयः-पास्पन्दनीया-पास्पन्दनीयम्,(पास्पन्दित)-पास्पन्दितः-पास्पन्दिता-पास्पन्दितम्,(पास्पन्दितवत्)-पास्पन्दितवान्-पास्पन्दितवती-पास्पन्दितवत्/पास्पन्दितवद्,(पास्पन्द्यमान)-पास्पन्द्यमानः-पास्पन्द्यमाना-पास्पन्द्यमानम्,(पास्पन्दिष्यमाण)-पास्पन्दिष्यमाणः-पास्पन्दिष्यमाणा-पास्पन्दिष्यमाणम्,(पास्पन्द्यमान)-पास्पन्द्यमानः-पास्पन्द्यमाना-पास्पन्द्यमानम्,(पास्पन्दिष्यमाण)-पास्पन्दिष्यमाणः-पास्पन्दिष्यमाणा-पास्पन्दिष्यमाणम्,(पास्पन्दित्वा)---,(प्रपास्पन्द्य)---,(पास्पन्दितुम्)---,(पास्पन्दम्)---,(पास्पन्द)-पास्पन्दः--,[(पास्पन्ति-पास्पन्त्ति)- (-)- (पास्पन्तिः-पास्पन्त्तिः)- (-)],(पास्पन्द)-पास्पन्दः-पास्पन्दा-पास्पन्दम्,[(पास्पन्ति-पास्पन्त्ति-पास्पन्दाम्बभूवस्-पास्पन्दामासिवस्-पास्पन्दाञ्चकृवस्)- (--पास्पन्दाम्बभूवान्-पास्पन्दामासिवान्-पास्पन्दाञ्चकृवान्)- (पास्पन्तिः-पास्पन्त्तिः-पास्पन्दाम्बभूषी-पास्पन्दामास्युषी-पास्पन्दाञ्चक्रुषी)- (--पास्पन्दाम्बभूवत्/पास्पन्दाम्बभूवद्-पास्पन्दामासिवत्/पास्पन्दामासिवद्-पास्पन्दाञ्चकृवत्/पास्पन्दाञ्चकृवद्)],(पास्पन्द्यमान)-पास्पन्द्यमानः-पास्पन्द्यमाना-पास्पन्द्यमानम्,(पास्पन्दक)-पास्पन्दकः-पास्पन्दिका-पास्पन्दकम्,(पास्पन्दा)--पास्पन्दा-,
